,ZIPCODE,Normalized EDP Calls
0,10001,-1.6669664531057755
1,10002,-2.904180454354913
2,10003,-2.677958826748915
3,10004,-1.2241412964391485
4,10004,-1.2241412964391485
5,10004,-1.2241412964391485
6,10004,-1.2241412964391485
7,10005,-2.746654353412234
8,10006,-2.5719482195585384
9,10007,-2.085330759550174
10,10009,-2.9795111213660026
11,10010,-2.9493370029146275
12,10011,-2.5273408060911673
13,10012,-2.7727535076072134
14,10013,-2.462469528003018
15,10014,-2.796885601089964
16,10016,-2.7473807983279057
17,10017,-2.321483492966163
18,10018,-0.7482446737312989
19,10019,-2.3060701656260614
20,10021,-3.928695808701471
21,10022,-3.0675098503990523
22,10023,-3.3100940695983856
23,10024,-3.549402102630149
24,10025,-3.2773321451432795
25,10026,-2.595907733934926
26,10027,-2.421204099320718
27,10028,-3.758804502300826
28,10029,-2.977107523716285
29,10030,-2.40454156202555
30,10031,-3.0618975629901133
31,10032,-3.0272267743893564
32,10033,-3.0314369586935492
33,10034,-3.2807528590197417
34,10035,-1.899530869470192
35,10035,-1.899530869470192
36,10036,-1.7055767071180414
37,10037,-2.6434969142594653
38,10038,-2.8218286137042576
39,10039,-2.7010187775724304
40,10040,-3.581595509778636
41,10044,-3.7805089107386336
42,10065,-3.3960996645904866
43,10069,-4.454689235049796
44,10075,-3.8320993382880517
45,10128,-3.862129844102442
46,10280,-3.4867758883679434
47,10281,-5.079414809491081
48,10282,-3.5079279261436955
49,10301,-2.6910823558049866
50,10302,-3.2312569618462055
51,10303,-3.3106983049542404
52,10304,-3.103016902583103
53,10305,-3.1623204449861553
54,10306,-3.8120183412487116
55,10307,-3.922434566354595
56,10308,-4.041856848885883
57,10309,-3.8146668985251195
58,10310,-3.196256330699287
59,10312,-4.223446673465395
60,10314,-3.7716963054385526
61,10451,-2.3558596968871517
62,10452,-2.793085377766601
63,10453,-2.8171904955929215
64,10454,-2.7035495876545816
65,10455,-2.478750011976468
66,10456,-2.5922454792990814
67,10457,-2.380762480029979
68,10458,-2.877078783065011
69,10459,-2.532782780057459
70,10460,-2.5318351281714753
71,10461,-2.7726876410571886
72,10462,-3.3328125656062926
73,10463,-3.4023446824445154
74,10463,-3.4023446824445154
75,10464,-3.292013629591959
76,10464,-3.292013629591959
77,10464,-3.292013629591959
78,10465,-3.6948958023000817
79,10466,-3.091593793273331
80,10467,-2.9082989240407615
81,10468,-2.982604771907323
82,10469,-3.213911286531639
83,10470,-2.9037581072222323
84,10471,-2.8746087590451856
85,10472,-3.3212335059768257
86,10473,-3.1351339761084613
87,10474,-2.6473154199617546
88,10475,-3.4681575372402578
89,11001,-3.8372994592322094
90,11004,-4.137376878138708
91,11005,-2.837183854093776
92,11040,-3.379718349985031
93,11096,-4.297285406218791
94,11096,-4.297285406218791
95,11101,-2.0187765906877013
96,11102,-3.469277401011923
97,11103,-3.6006656826463797
98,11104,-3.8803480371143366
99,11105,-3.8907370504284673
100,11106,-3.4970767134454186
101,11109,-4.1588830833596715
102,11201,-2.3982912713326936
103,11203,-3.0690719014517036
104,11204,-4.404962640163288
105,11205,-3.230493197959917
106,11206,-2.9482391911328873
107,11207,-2.8242218652291773
108,11208,-2.9825790350462653
109,11209,-3.7634262578716866
110,11210,-3.6691987492094813
111,11211,-3.544984766282342
112,11212,-2.8268069895038495
113,11213,-2.984359645684744
114,11214,-3.883367559358309
115,11215,-3.6280540387906375
116,11216,-2.9489793665719843
117,11217,-2.7409492747378628
118,11218,-4.007471545661609
119,11219,-4.383767542656242
120,11220,-3.6330620310588553
121,11221,-3.002134215995304
122,11222,-3.414921864087721
123,11223,-3.89604889950167
124,11224,-3.084651627933177
125,11225,-3.3202990842766824
126,11226,-3.1299692361709712
127,11228,-4.186178895635073
128,11229,-3.9279516269389774
129,11230,-3.9264355819938332
130,11231,-3.661030456927922
131,11231,-3.661030456927922
132,11232,-3.2989241782562164
133,11233,-2.333119842195158
134,11234,-3.8548995356485842
135,11235,-3.788955999312582
136,11236,-3.5184116756111354
137,11237,-3.527070211876647
138,11238,-3.218104649644686
139,11239,-3.2118949937268604
140,11249,-3.8224459584815853
141,11354,-3.6951356342656467
142,11355,-4.040157223923376
143,11356,-3.760644215655728
144,11357,-4.236600367647563
145,11358,-4.256288560123234
146,11360,-4.73878440650759
147,11361,-4.075434098812811
148,11362,-4.694118985373833
149,11363,-4.767855768265187
150,11364,-4.350042233226305
151,11365,-4.013967858280145
152,11366,-3.656599305306644
153,11367,-3.7085336711944334
154,11368,-3.9998340292483117
155,11369,-3.7283730557939485
156,11370,-4.22274024059384
157,11370,-4.22274024059384
158,11372,-3.7668134157094917
159,11373,-3.8127730229282863
160,11374,-4.195542700485702
161,11375,-3.7689464734631564
162,11377,-3.8579488324479234
163,11378,-4.096404585808398
164,11379,-4.264657669904821
165,11385,-3.9139143454873886
166,11411,-3.7324133643945414
167,11412,-3.195423029161207
168,11413,-3.3835392697276747
169,11414,-3.6747529945467576
170,11415,-3.5453925168583162
171,11416,-3.4451415009737425
172,11417,-3.6477914071797866
173,11418,-3.431340942488852
174,11419,-3.4240692784685502
175,11420,-3.4351779081518803
176,11421,-3.926584865549234
177,11422,-3.7497197665976083
178,11423,-3.5013800416477197
179,11426,-2.3542722173834045
180,11427,-3.2663338168879608
181,11428,-3.6604842308500793
182,11429,-3.267456980781046
183,11432,-2.9905103295728392
184,11433,-2.9038533616412714
185,11434,-3.117905071193744
186,11435,-2.8611060569042897
187,11436,-3.5037603936468704
188,11691,-2.7682673445972297
189,11692,-3.058607177605162
190,11693,-2.602282602190238
191,11693,-2.602282602190238
192,11693,-2.602282602190238
193,11693,-2.602282602190238
194,11694,-3.085059297081482
195,11697,-4.847871236517832
